"Date","Year","Month","MonthName","Decade","Station","StationName","Network","City","County","Lat","Lon","Elev_m","Tmax_C","Tmin_C","Tmed_C","Tdew_C","RHmax","RHmin","RHmed","Precip_mm","THImax","THImin","THImed","THImax_cat","THI75","THI79","THI84","THImax_rh","THImin_rh","THImed_rh","Imputed","ImputedVar"
2006-01-17,2006,1,"Jan","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,18.33,4.98,11.66,4.98,92.86,57.94,75.4,1.52,61.33,47.98,54.65,"Normal",0,0,0,63.34,41.64,52.49,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
2006-01-18,2006,1,"Jan","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,17.99,-0.06,8.97,-1.29,89.02,25.32,57.17,10,58.72,40.68,49.7,"Normal",0,0,0,61.7,33.49,47.59,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
2006-01-19,2006,1,"Jan","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,13.78,-1.79,6,-3.43,87.21,29.44,58.33,0,53.75,38.18,45.96,"Normal",0,0,0,57.24,30.85,44.05,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
2006-01-20,2006,1,"Jan","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,16.09,0.46,8.28,0.06,90.38,37.56,63.97,0,57.31,41.68,49.5,"Normal",0,0,0,59.91,34.17,47.04,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
2006-01-21,2006,1,"Jan","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,17.56,6.62,12.09,6.23,92.25,59.62,75.94,5.96,61,50.07,55.53,"Normal",0,0,0,62.33,44.53,53.43,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
2006-01-22,2006,1,"Jan","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,9.32,2.6,5.96,-1.36,85.7,53.3,69.5,2.29,50.03,43.31,46.67,"Normal",0,0,0,51.15,38.37,44.76,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
2006-01-23,2006,1,"Jan","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,8.07,2.74,5.41,0.73,89.61,75.75,82.68,2.29,49.54,44.2,46.87,"Normal",0,0,0,48.07,38.14,43.1,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
2006-01-24,2006,1,"Jan","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,15.33,5.2,10.26,2.65,90.26,49.22,69.74,0.76,57.49,47.35,52.42,"Normal",0,0,0,59.12,42.25,50.69,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
2006-01-25,2006,1,"Jan","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,9.29,0.19,4.74,-5.1,80,33.46,56.73,0,48.65,39.55,44.1,"Normal",0,0,0,52.12,35.18,43.65,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
2006-01-26,2006,1,"Jan","2000s","BAHA","Butner Beef Cattle Laboratory (BAHA)","ECONET","Bahama","Durham County",36.17493,-78.80865,142.95,7.16,-2.22,2.47,-8.02,76.8,30.47,53.64,0,45.47,36.09,40.78,"Normal",0,0,0,49.92,31.86,40.89,TRUE,"Tmax_C, Tmin_C, Tdew_C, RHmin, RHmax, Precip_mm"
